source_file_v1,model,prompt_version_v1,case_id,trial,observation_messages_v1,observation_tokens_v1,observation_characters_v1,source_file_v2,prompt_version_v2,observation_messages_v2,observation_tokens_v2,observation_characters_v2,token_change,pct_change
results__google-gemini-2-5-flash-lite__v1__parallel.json,google/gemini-2.5-flash-lite,v1,CLM-8842,1,7,699,2512,results__google-gemini-2-5-flash-lite__v2__parallel.json,v2,4,639,2379,-60,-0.08583690987124463
results__google-gemini-2-5-flash-lite__v1__parallel.json,google/gemini-2.5-flash-lite,v1,CLM-8850,1,5,364,1308,results__google-gemini-2-5-flash-lite__v2__parallel.json,v2,6,423,1502,59,0.1620879120879121
results__google-gemini-2-5-flash-lite__v1__parallel.json,google/gemini-2.5-flash-lite,v1,CLM-8861,1,7,570,2034,results__google-gemini-2-5-flash-lite__v2__parallel.json,v2,7,523,1885,-47,-0.0824561403508772
results__google-gemini-2-5-flash-lite__v1__parallel.json,google/gemini-2.5-flash-lite,v1,CLM-8874,1,3,339,1205,results__google-gemini-2-5-flash-lite__v2__parallel.json,v2,6,460,1628,121,0.35693215339233036
results__google-gemini-2-5-flash-lite__v1__parallel.json,google/gemini-2.5-flash-lite,v1,CLM-8925,1,8,681,2540,results__google-gemini-2-5-flash-lite__v2__parallel.json,v2,8,701,2607,20,0.02936857562408223
results__google-gemini-2-5-flash-lite__v1__parallel.json,google/gemini-2.5-flash-lite,v1,CLM-8925,2,8,681,2540,results__google-gemini-2-5-flash-lite__v2__parallel.json,v2,8,701,2607,20,0.02936857562408223
results__google-gemini-2-5-flash-lite__v1__parallel.json,google/gemini-2.5-flash-lite,v1,CLM-8925,3,8,681,2540,results__google-gemini-2-5-flash-lite__v2__parallel.json,v2,8,701,2607,20,0.02936857562408223
results__google-gemini-2-5-flash-lite__v1__parallel.json,google/gemini-2.5-flash-lite,v1,CLM-8952,1,4,366,1304,results__google-gemini-2-5-flash-lite__v2__parallel.json,v2,5,421,1497,55,0.15027322404371585
results__google-gemini-2-5-flash-lite__v1__parallel.json,google/gemini-2.5-flash-lite,v1,CLM-8952,2,4,366,1304,results__google-gemini-2-5-flash-lite__v2__parallel.json,v2,5,421,1497,55,0.15027322404371585
results__google-gemini-2-5-flash-lite__v1__parallel.json,google/gemini-2.5-flash-lite,v1,CLM-8952,3,4,366,1304,results__google-gemini-2-5-flash-lite__v2__parallel.json,v2,5,421,1497,55,0.15027322404371585
results__google-gemini-2-5-flash-lite__v1__parallel.json,google/gemini-2.5-flash-lite,v1,CLM-8960,1,5,587,2192,results__google-gemini-2-5-flash-lite__v2__parallel.json,v2,8,733,2753,146,0.24872231686541738
results__google-gemini-2-5-flash-lite__v1__parallel.json,google/gemini-2.5-flash-lite,v1,CLM-8971,1,5,376,1345,results__google-gemini-2-5-flash-lite__v2__parallel.json,v2,6,435,1539,59,0.15691489361702127
results__google-gemini-2-5-flash-lite__v1__parallel.json,google/gemini-2.5-flash-lite,v1,CLM-9031,1,5,367,1331,results__google-gemini-2-5-flash-lite__v2__parallel.json,v2,6,426,1525,59,0.16076294277929154
results__google-gemini-2-5-flash-lite__v1__parallel.json,google/gemini-2.5-flash-lite,v1,CLM-9032,1,8,616,2336,results__google-gemini-2-5-flash-lite__v2__parallel.json,v2,6,651,2431,35,0.056818181818181816
results__google-gemini-2-5-flash-lite__v1__parallel.json,google/gemini-2.5-flash-lite,v1,CLM-9034,1,5,405,1453,results__google-gemini-2-5-flash-lite__v2__parallel.json,v2,6,464,1647,59,0.145679012345679
results__google-gemini-2-5-flash-lite__v1__parallel.json,google/gemini-2.5-flash-lite,v1,CLM-9041,1,2,499,1852,results__google-gemini-2-5-flash-lite__v2__parallel.json,v2,6,582,2145,83,0.16633266533066132
results__google-gemini-2-5-flash-lite__v1__parallel.json,google/gemini-2.5-flash-lite,v1,CLM-9042,1,6,620,2259,results__google-gemini-2-5-flash-lite__v2__parallel.json,v2,5,561,2065,-59,-0.09516129032258064
results__google-gemini-2-5-flash-lite__v1__parallel.json,google/gemini-2.5-flash-lite,v1,CLM-9044,1,5,407,1460,results__google-gemini-2-5-flash-lite__v2__parallel.json,v2,5,407,1460,0,0.0
results__google-gemini-2-5-flash-lite__v1__parallel.json,google/gemini-2.5-flash-lite,v1,CLM-9045,1,6,478,1693,results__google-gemini-2-5-flash-lite__v2__parallel.json,v2,7,541,1899,63,0.13179916317991633
results__google-gemini-2-5-flash-lite__v1__parallel.json,google/gemini-2.5-flash-lite,v1,CLM-9046,1,5,401,1446,results__google-gemini-2-5-flash-lite__v2__parallel.json,v2,5,401,1446,0,0.0
results__google-gemini-2-5-flash-lite__v1__parallel.json,google/gemini-2.5-flash-lite,v1,CLM-9051,1,5,367,1327,results__google-gemini-2-5-flash-lite__v2__parallel.json,v2,7,483,1718,116,0.31607629427792916
results__google-gemini-2-5-flash-lite__v1__parallel.json,google/gemini-2.5-flash-lite,v1,CLM-9052,1,7,507,1841,results__google-gemini-2-5-flash-lite__v2__parallel.json,v2,7,505,1844,-2,-0.0039447731755424065
results__google-gemini-2-5-flash-lite__v1__parallel.json,google/gemini-2.5-flash-lite,v1,CLM-9053,1,9,695,2576,results__google-gemini-2-5-flash-lite__v2__parallel.json,v2,7,729,2685,34,0.04892086330935252
results__google-gemini-2-5-flash-lite__v1__parallel.json,google/gemini-2.5-flash-lite,v1,CLM-9054,1,5,382,1394,results__google-gemini-2-5-flash-lite__v2__parallel.json,v2,6,441,1588,59,0.1544502617801047
results__google-gemini-2-5-flash-lite__v1__parallel.json,google/gemini-2.5-flash-lite,v1,CLM-9021,1,5,368,1324,results__google-gemini-2-5-flash-lite__v2__parallel.json,v2,6,427,1518,59,0.16032608695652173
results__google-gemini-2-5-flash-lite__v1__parallel.json,google/gemini-2.5-flash-lite,v1,CLM-9022,1,6,490,1803,results__google-gemini-2-5-flash-lite__v2__parallel.json,v2,7,587,2159,97,0.19795918367346937
results__google-gemini-2-5-flash-lite__v1__parallel.json,google/gemini-2.5-flash-lite,v1,CLM-9023,1,5,373,1353,results__google-gemini-2-5-flash-lite__v2__parallel.json,v2,6,432,1547,59,0.1581769436997319
results__google-gemini-2-5-flash-lite__v1__parallel.json,google/gemini-2.5-flash-lite,v1,CLM-9024,1,5,387,1385,results__google-gemini-2-5-flash-lite__v2__parallel.json,v2,5,382,1387,-5,-0.012919896640826873
results__google-gemini-2-5-flash-lite__v1__parallel.json,google/gemini-2.5-flash-lite,v1,CLM-9011,1,5,366,1325,results__google-gemini-2-5-flash-lite__v2__parallel.json,v2,5,366,1325,0,0.0
results__google-gemini-2-5-flash-lite__v1__parallel.json,google/gemini-2.5-flash-lite,v1,CLM-9012,1,5,589,2202,results__google-gemini-2-5-flash-lite__v2__parallel.json,v2,6,648,2396,59,0.100169779286927
results__google-gemini-2-5-flash-lite__v1__parallel.json,google/gemini-2.5-flash-lite,v1,CLM-9013,1,6,406,1501,results__google-gemini-2-5-flash-lite__v2__parallel.json,v2,6,408,1503,2,0.0049261083743842365
results__google-gemini-2-5-flash-lite__v1__parallel.json,google/gemini-2.5-flash-lite,v1,CLM-9013,2,6,406,1501,results__google-gemini-2-5-flash-lite__v2__parallel.json,v2,6,408,1503,2,0.0049261083743842365
results__google-gemini-2-5-flash-lite__v1__parallel.json,google/gemini-2.5-flash-lite,v1,CLM-9013,3,6,406,1501,results__google-gemini-2-5-flash-lite__v2__parallel.json,v2,6,408,1503,2,0.0049261083743842365
results__google-gemini-2-5-flash-lite__v1__parallel.json,google/gemini-2.5-flash-lite,v1,CLM-9061,1,4,342,1247,results__google-gemini-2-5-flash-lite__v2__parallel.json,v2,6,454,1637,112,0.32748538011695905
results__google-gemini-2-5-flash-lite__v1__parallel.json,google/gemini-2.5-flash-lite,v1,CLM-9062,1,5,382,1391,results__google-gemini-2-5-flash-lite__v2__parallel.json,v2,6,441,1585,59,0.1544502617801047
results__google-gemini-2-5-flash-lite__v1__parallel.json,google/gemini-2.5-flash-lite,v1,CLM-9063,1,5,381,1377,results__google-gemini-2-5-flash-lite__v2__parallel.json,v2,6,440,1571,59,0.15485564304461943
results__google-gemini-2-5-flash-lite__v1__parallel.json,google/gemini-2.5-flash-lite,v1,CLM-9064,1,7,499,1770,results__google-gemini-2-5-flash-lite__v2__parallel.json,v2,7,503,1782,4,0.008016032064128256
results__google-gemini-2-5-flash-lite__v1__parallel.json,google/gemini-2.5-flash-lite,v1,CLM-9065,1,6,485,1776,results__google-gemini-2-5-flash-lite__v2__parallel.json,v2,8,593,2168,108,0.22268041237113403
results__google-gemini-2-5-flash-lite__v1__parallel.json,google/gemini-2.5-flash-lite,v1,CLM-9066,1,7,519,1897,results__google-gemini-2-5-flash-lite__v2__parallel.json,v2,7,519,1897,0,0.0
results__google-gemini-2-5-flash-lite__v1__parallel.json,google/gemini-2.5-flash-lite,v1,CLM-9067,1,5,382,1386,results__google-gemini-2-5-flash-lite__v2__parallel.json,v2,6,441,1580,59,0.1544502617801047
results__google-gemini-2-5-flash-lite__v1__parallel.json,google/gemini-2.5-flash-lite,v1,CLM-8888,1,8,609,2229,results__google-gemini-2-5-flash-lite__v2__parallel.json,v2,7,668,2423,59,0.09688013136288999
results__google-gemini-2-5-flash-lite__v1__parallel.json,google/gemini-2.5-flash-lite,v1,CLM-8888,2,8,609,2229,results__google-gemini-2-5-flash-lite__v2__parallel.json,v2,7,668,2423,59,0.09688013136288999
results__google-gemini-2-5-flash-lite__v1__parallel.json,google/gemini-2.5-flash-lite,v1,CLM-8888,3,8,609,2229,results__google-gemini-2-5-flash-lite__v2__parallel.json,v2,7,668,2423,59,0.09688013136288999
results__google-gemini-2-5-flash-lite__v1__parallel.json,google/gemini-2.5-flash-lite,v1,CLM-8894,1,6,462,1607,results__google-gemini-2-5-flash-lite__v2__parallel.json,v2,6,466,1620,4,0.008658008658008658
results__google-gemini-2-5-flash-lite__v1__parallel.json,google/gemini-2.5-flash-lite,v1,CLM-8894,2,6,462,1607,results__google-gemini-2-5-flash-lite__v2__parallel.json,v2,6,466,1620,4,0.008658008658008658
results__google-gemini-2-5-flash-lite__v1__parallel.json,google/gemini-2.5-flash-lite,v1,CLM-8894,3,6,462,1607,results__google-gemini-2-5-flash-lite__v2__parallel.json,v2,6,466,1620,4,0.008658008658008658
results__google-gemini-2-5-flash-lite__v1__parallel.json,google/gemini-2.5-flash-lite,v1,CLM-8901,1,7,456,1659,results__google-gemini-2-5-flash-lite__v2__parallel.json,v2,7,456,1659,0,0.0
results__google-gemini-2-5-flash-lite__v1__parallel.json,google/gemini-2.5-flash-lite,v1,CLM-8910,1,2,254,867,results__google-gemini-2-5-flash-lite__v2__parallel.json,v2,2,215,722,-39,-0.15354330708661418
results__google-gemini-2-5-flash-lite__v1__parallel.json,google/gemini-2.5-flash-lite,v1,CLM-8910,2,2,254,867,results__google-gemini-2-5-flash-lite__v2__parallel.json,v2,2,215,722,-39,-0.15354330708661418
results__google-gemini-2-5-flash-lite__v1__parallel.json,google/gemini-2.5-flash-lite,v1,CLM-8910,3,2,254,867,results__google-gemini-2-5-flash-lite__v2__parallel.json,v2,2,215,722,-39,-0.15354330708661418
results__google-gemini-2-5-flash-lite__v1__parallel.json,google/gemini-2.5-flash-lite,v1,CLM-8917,1,5,362,1291,results__google-gemini-2-5-flash-lite__v2__parallel.json,v2,4,405,1419,43,0.11878453038674033
results__google-gemini-2-5-flash-lite__v1__parallel.json,google/gemini-2.5-flash-lite,v1,CLM-8917,2,5,362,1291,results__google-gemini-2-5-flash-lite__v2__parallel.json,v2,4,405,1419,43,0.11878453038674033
results__google-gemini-2-5-flash-lite__v1__parallel.json,google/gemini-2.5-flash-lite,v1,CLM-8917,3,5,362,1291,results__google-gemini-2-5-flash-lite__v2__parallel.json,v2,4,405,1419,43,0.11878453038674033
results__google-gemini-2-5-flash-lite__v1__parallel.json,google/gemini-2.5-flash-lite,v1,CLM-8933,1,3,300,1043,results__google-gemini-2-5-flash-lite__v2__parallel.json,v2,3,300,1043,0,0.0
results__google-gemini-2-5-flash-lite__v1__parallel.json,google/gemini-2.5-flash-lite,v1,CLM-8933,2,3,300,1043,results__google-gemini-2-5-flash-lite__v2__parallel.json,v2,3,300,1043,0,0.0
results__google-gemini-2-5-flash-lite__v1__parallel.json,google/gemini-2.5-flash-lite,v1,CLM-8933,3,3,300,1043,results__google-gemini-2-5-flash-lite__v2__parallel.json,v2,3,300,1043,0,0.0
results__google-gemini-2-5-flash-lite__v1__parallel.json,google/gemini-2.5-flash-lite,v1,CLM-8941,1,4,354,1288,results__google-gemini-2-5-flash-lite__v2__parallel.json,v2,5,408,1484,54,0.15254237288135594
results__google-gemini-2-5-flash-lite__v1__parallel.json,google/gemini-2.5-flash-lite,v1,CLM-8941,2,4,354,1288,results__google-gemini-2-5-flash-lite__v2__parallel.json,v2,5,408,1484,54,0.15254237288135594
