configuration,success_rate,baseline_variable_cost_usd,expected_fallback_cost_usd,cost_to_serve_usd,is_measured_rate
anthropic/claude-haiku-4.5 | v2 | parallel,0.3576271186,0.02488415254237288,4.8820338986400005,4.906918051182373,False
anthropic/claude-haiku-4.5 | v2 | parallel,0.4076271186,0.02488415254237288,4.50203389864,4.526918051182372,False
anthropic/claude-haiku-4.5 | v2 | parallel,0.4576271186,0.02488415254237288,4.12203389864,4.1469180511823724,True
anthropic/claude-haiku-4.5 | v2 | parallel,0.5076271186,0.02488415254237288,3.74203389864,3.766918051182373,False
anthropic/claude-haiku-4.5 | v2 | parallel,0.5576271186,0.02488415254237288,3.3620338986399996,3.3869180511823727,False
google/gemini-2.5-flash-lite | v1 | parallel,0.0694915254,0.0014727101694915253,7.07186440696,7.073337117129491,False
google/gemini-2.5-flash-lite | v1 | parallel,0.1194915254,0.0014727101694915253,6.69186440696,6.6933371171294915,False
google/gemini-2.5-flash-lite | v1 | parallel,0.1694915254,0.0014727101694915253,6.31186440696,6.313337117129492,True
google/gemini-2.5-flash-lite | v1 | parallel,0.2194915254,0.0014727101694915253,5.931864406959999,5.933337117129491,False
google/gemini-2.5-flash-lite | v1 | parallel,0.2694915254,0.0014727101694915253,5.55186440696,5.553337117129492,False
google/gemini-2.5-flash-lite | v2 | parallel,0.1881355932,0.0018380677966101698,6.17016949168,6.172007559476611,False
google/gemini-2.5-flash-lite | v2 | parallel,0.2381355932,0.0018380677966101698,5.7901694916799995,5.79200755947661,False
google/gemini-2.5-flash-lite | v2 | parallel,0.2881355932,0.0018380677966101698,5.41016949168,5.41200755947661,True
google/gemini-2.5-flash-lite | v2 | parallel,0.3381355932,0.0018380677966101698,5.03016949168,5.03200755947661,False
google/gemini-2.5-flash-lite | v2 | parallel,0.3881355932,0.0018380677966101698,4.65016949168,4.65200755947661,False
mistralai/mistral-small-2603 | v2 | parallel,0.0525423729,0.0030845974576271186,7.20067796596,7.2037625634176266,False
mistralai/mistral-small-2603 | v2 | parallel,0.1025423729,0.0030845974576271186,6.82067796596,6.823762563417627,False
mistralai/mistral-small-2603 | v2 | parallel,0.1525423729,0.0030845974576271186,6.44067796596,6.443762563417627,True
mistralai/mistral-small-2603 | v2 | parallel,0.2025423729,0.0030845974576271186,6.06067796596,6.063762563417627,False
mistralai/mistral-small-2603 | v2 | parallel,0.2525423729,0.0030845974576271186,5.680677965959999,5.683762563417626,False
openai/gpt-5.6-luna | v2 | parallel,0.493220339,0.0034805016949152547,3.851525423599999,3.8550059252949143,False
openai/gpt-5.6-luna | v2 | parallel,0.543220339,0.0034805016949152547,3.4715254235999997,3.475005925294915,False
openai/gpt-5.6-luna | v2 | parallel,0.593220339,0.0034805016949152547,3.0915254235999994,3.0950059252949145,True
openai/gpt-5.6-luna | v2 | parallel,0.643220339,0.0034805016949152547,2.7115254236,2.715005925294915,False
openai/gpt-5.6-luna | v2 | parallel,0.693220339,0.0034805016949152547,2.3315254235999996,2.3350059252949147,False
qwen/qwen3.7-plus | v2 | parallel,0.3745762712,0.004623012881355933,4.753220338879999,4.757843351761355,False
qwen/qwen3.7-plus | v2 | parallel,0.4245762712,0.004623012881355933,4.3732203388799995,4.3778433517613555,False
qwen/qwen3.7-plus | v2 | parallel,0.4745762712,0.004623012881355933,3.9932203388799996,3.9978433517613556,True
qwen/qwen3.7-plus | v2 | parallel,0.5245762712,0.004623012881355933,3.6132203388799993,3.6178433517613553,False
qwen/qwen3.7-plus | v2 | parallel,0.5745762712,0.004623012881355933,3.23322033888,3.237843351761356,False
