case_id,replay_mode,status,turns,tool_calls,proxy_tokens_in,proxy_tokens_out,proxy_layer1_usd_at_baseline_price,code_passed,step_cap_hit
CLM-8842,strict_sequential,halted,8,8,16566,581,0.004010400000000001,False,True
CLM-8842,parallel,completed,5,8,10605,656,0.0029082,True,False
CLM-8850,strict_sequential,completed,7,6,13531,502,0.0033086,True,False
CLM-8850,parallel,completed,5,6,9541,462,0.0024625999999999997,True,False
CLM-8861,strict_sequential,completed,8,7,16256,604,0.003976,True,False
CLM-8861,parallel,completed,5,7,10002,543,0.0026520000000000003,True,False
CLM-8874,strict_sequential,completed,6,5,11315,386,0.0027262000000000002,True,False
CLM-8874,parallel,completed,4,5,7339,346,0.0018830000000000001,True,False
CLM-8888,strict_sequential,completed,8,7,16400,524,0.0039088000000000005,True,False
CLM-8888,parallel,completed,4,7,7802,442,0.0020908,True,False
CLM-8894,strict_sequential,completed,6,5,11253,374,0.0026994000000000002,True,False
CLM-8894,parallel,completed,4,5,7293,334,0.0018594,True,False
CLM-8901,strict_sequential,completed,5,4,8890,279,0.0021128,True,False
CLM-8901,parallel,completed,3,4,5069,231,0.001291,True,False
CLM-8910,strict_sequential,completed,3,2,4940,154,0.0011727999999999999,True,False
CLM-8910,parallel,completed,3,2,4940,154,0.0011727999999999999,True,False
CLM-8917,strict_sequential,completed,3,2,4891,172,0.0011846,True,False
CLM-8917,parallel,completed,3,2,4891,172,0.0011846,True,False
CLM-8925,strict_sequential,completed,3,2,4987,159,0.0011882,True,False
CLM-8925,parallel,completed,3,2,4987,159,0.0011882,True,False
CLM-8933,strict_sequential,completed,4,3,6967,238,0.0016790000000000002,True,False
CLM-8933,parallel,completed,4,3,6967,238,0.0016790000000000002,True,False
CLM-8941,strict_sequential,completed,5,4,9100,299,0.0021788000000000003,True,False
CLM-8941,parallel,completed,3,4,5165,245,0.001327,True,False
CLM-8952,strict_sequential,completed,5,4,9045,268,0.0021306,True,False
CLM-8952,parallel,completed,3,4,5146,228,0.0013028,True,False
CLM-8960,strict_sequential,halted,8,8,16242,466,0.0038076000000000004,False,True
CLM-8960,parallel,completed,5,9,10762,715,0.0030104,True,False
CLM-8971,strict_sequential,completed,6,5,11200,386,0.0027032000000000002,True,False
CLM-8971,parallel,completed,4,5,7276,346,0.0018704000000000004,True,False
CLM-9011,strict_sequential,completed,7,6,13525,466,0.0032642,True,False
CLM-9011,parallel,completed,5,6,9531,426,0.0024174,True,False
CLM-9012,strict_sequential,halted,8,8,16256,544,0.003904,False,True
CLM-9012,parallel,completed,4,8,8065,577,0.0023054,True,False
CLM-9013,strict_sequential,completed,5,4,8884,267,0.0020972,True,False
CLM-9013,parallel,completed,3,4,5074,227,0.0012872,True,False
CLM-9021,strict_sequential,completed,6,5,11172,400,0.0027144,True,False
CLM-9021,parallel,completed,4,5,7269,360,0.0018858000000000002,True,False
CLM-9022,strict_sequential,completed,7,6,13865,546,0.0034282,True,False
CLM-9022,parallel,completed,4,6,7653,485,0.0021126,True,False
CLM-9023,strict_sequential,completed,6,5,11202,400,0.0027204,True,False
CLM-9023,parallel,completed,4,5,7286,360,0.0018892000000000002,True,False
CLM-9024,strict_sequential,completed,6,5,11240,406,0.0027352,True,False
CLM-9024,parallel,completed,4,5,7304,366,0.0019,True,False
CLM-9031,strict_sequential,completed,6,5,11169,400,0.0027138,True,False
CLM-9031,parallel,completed,4,5,7267,360,0.0018854000000000002,True,False
CLM-9032,strict_sequential,halted,8,8,16277,466,0.0038146000000000005,False,True
CLM-9032,parallel,completed,5,9,10765,681,0.0029702,True,False
CLM-9034,strict_sequential,completed,7,6,13756,493,0.0033428000000000004,True,False
CLM-9034,parallel,completed,5,6,9687,453,0.0024809999999999997,True,False
CLM-9041,strict_sequential,completed,8,7,16331,590,0.0039742,True,False
CLM-9041,parallel,completed,4,7,7815,508,0.0021726000000000002,True,False
CLM-9042,strict_sequential,completed,8,7,16553,662,0.004105,True,False
CLM-9042,parallel,completed,4,7,7941,580,0.0022842,True,False
CLM-9044,strict_sequential,completed,7,6,13783,523,0.0033842,True,False
CLM-9044,parallel,completed,5,6,9710,483,0.0025216,True,False
CLM-9045,strict_sequential,completed,7,6,13853,550,0.0034306000000000002,True,False
CLM-9045,parallel,completed,5,6,9769,510,0.0025658,True,False
CLM-9046,strict_sequential,completed,7,6,13793,551,0.0034197999999999997,True,False
CLM-9046,parallel,completed,4,6,7581,481,0.0020934,True,False
CLM-9051,strict_sequential,completed,6,5,11167,396,0.0027086,True,False
CLM-9051,parallel,completed,4,5,7265,356,0.0018802,True,False
CLM-9052,strict_sequential,completed,7,6,13639,510,0.0033398000000000004,True,False
CLM-9052,parallel,completed,4,6,7539,449,0.0020466,True,False
CLM-9053,strict_sequential,halted,8,8,16386,440,0.0038052000000000008,False,True
CLM-9053,parallel,completed,5,9,10845,737,0.0030534000000000004,True,False
CLM-9054,strict_sequential,completed,6,5,11248,422,0.0027559999999999998,True,False
CLM-9054,parallel,completed,4,5,7312,382,0.0019207999999999999,True,False
CLM-9061,strict_sequential,completed,6,5,11301,396,0.0027354,True,False
CLM-9061,parallel,completed,4,5,7332,356,0.0018936,True,False
CLM-9062,strict_sequential,completed,6,5,11232,396,0.0027216000000000002,True,False
CLM-9062,parallel,completed,4,5,7298,356,0.0018868000000000001,True,False
CLM-9063,strict_sequential,completed,6,5,11229,396,0.002721,True,False
CLM-9063,parallel,completed,4,5,7295,356,0.0018862000000000002,True,False
CLM-9064,strict_sequential,completed,7,6,13640,540,0.003376,True,False
CLM-9064,parallel,completed,5,6,9634,500,0.0025268,True,False
CLM-9065,strict_sequential,completed,7,6,13839,518,0.0033894000000000003,True,False
CLM-9065,parallel,completed,4,6,7627,457,0.0020738,True,False
CLM-9066,strict_sequential,completed,7,6,13703,510,0.0033526000000000003,True,False
CLM-9066,parallel,completed,4,6,7563,449,0.0020514,True,False
CLM-9067,strict_sequential,completed,6,5,11243,412,0.0027429999999999998,True,False
CLM-9067,parallel,completed,4,5,7307,372,0.0019078,True,False
